,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
7857,"אלגד פיצה בע""מ","בית אוכל להכנה ומכירת פיצות מבצק מוכן ומוקפא צליה ומכירת כנפי עוף ללא עיבוד במקום.הגשה בכלים חד פעמיים.משלוחי פיצה ושתיה ע""י קטנועים.",מזון,טאגור רבינדרנת 30 ,"בית אוכל להכנה ומכירת פיצות מבצק מוכן ומוקפא צליה ומכירת כנפי עוף ללא עיבוד במקום.הגשה בכלים חד פעמיים.משלוחי פיצה ושתיה ע""י קטנועים.,מכירת משקאות קלים וגלידה בקופסאות מכ' גלידה.,","(None, None)"
7859,בוטיק סנטרל,"מזנון,בית אוכל אחר ,לרבות הגשת משקאות משכרים לצריכה במקום. 
",מזון,בזל 40 ,"בית אוכל אחר למכירת והגשת עוגות ושאר מיני מאפה קישים ממקור מאושר כחוק למעט לחם,חימום מאפים בלבד, מכירת כריכים מוכנים ארוזים ממקור מאושר כחוק תה וקפה בכוסות חד פעמיים,","(32.0898978, 34.7795378)"
7862,מימדיון,מסעדה פנימית (מבנה ב')-לרבות צריכת משקאות משכרים במקום,מזון,רוקח ישראל 150 ,"מסעדה פנימית (מבנה ב')-לרבות צריכת משקאות משכרים במקום,","(31.9595402, 34.8081028)"
7863,מועדון חברים- רוני,עריכת משחקי קלפים וקוביות (ללא משחקים אלקטרוניים) משקאות קלים הגשת קפה ותה בכוסות חד פעמי.,עינוג ציבורי כללי,שלמה 108 ,"עריכת משחקי קלפים וקוביות (ללא משחקים אלקטרוניים) משקאות קלים הגשת קפה ותה בכוסות חד פעמי.,משקאות משכרים - הגשתם לצריכה במקום הגשתם.,","(32.054713, 34.7756)"
7867,מאיר,מוסך לתיקון אופנועים.,רכב ותחבורה,שבח 5 ,"מוסך לתיקון אופנועים.,","(31.77988475, 35.22483777884272)"
7870,יהודה דבוש עיצוב שיער,1.4ב - מספרה.,"בריאות, רוקחות, קוסמטיקה","מזא""ה 49 ","מספרה.,פדיקור ומניקור.,","(32.0659, 34.778331)"
7875,שופרסל,"סופרמרקט מכלת + מכירת מצרכי מזון קפואים.(מכ' בקר ,דגים ועוף קפואים.)",מזון,אבן גבירול 124 ,"סופרמרקט מכלת + מכירת מצרכי מזון קפואים.(מכ' בקר ,דגים ועוף קפואים.),אטליז-מכירת בשר,עופות שאינם קפואים.,מעדניה - מכירת סלטים ונקניקים במישקל.,מכירת פירות וירקות.,אפיית דברי מאפה מבצק מוכן ומוקפא לצרכי מכירה במקום.,הכנה ומכירת עוף בגריל.,","(32.0869162, 34.7822126)"
7876,"קונדיטוריה ""ארז""",אפיית עוגות,מזון,המפעל 2 ,"אפיית עוגות,","(32.9234246, 35.0793225)"
7878,מלון פתאל - חדר אוכל,הגשה ומכירת כריכים ומשקאות קלים (בקומה  מינוס אחד ).,מזון,הירקון 156 ,"הגשה ומכירת כריכים ומשקאות קלים (בקומה  מינוס אחד ).,","(32.084359, 34.769709)"
7879,מלון פתאל - בריכת שחיה,בריכה שחיה,עינוג ציבורי כללי,הירקון 156 ,"בריכה שחיה,","(32.084359, 34.769709)"
7881,ברביריה,מספרה.,"בריאות, רוקחות, קוסמטיקה",רוטשילד 9 ,"מספרה.,","(31.9281661, 34.7969143)"
7882,ניני האצ'י,"מסעדה כולל  הכנה והגשת  דגים מפולטים  ממקור מאושר, להכנת סושי,לרבות הגשת משקאות משכרים לצריכה במקום. 
",מזון,בן יהודה 228 ,"מסעדה כולל  הכנה והגשת  דגים מפולטים  ממקור מאושר, להכנת סושי,לרבות הגשת משקאות משכרים לצריכה במקום. 
,","(32.092081, 34.774778)"
7883,בוקה חמנייה,"מזנון,בית אוכל אחר ,לרבות הגשת משקאות משכרים לצריכה במקום, ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט 4.8",מזון,בזל 37 ,"בית אוכל - צמחוני להכנת כריכים,סלטים,פסטות+ חימום רצועות עוף(טופו) לאחר עיבוד טרמי לרבות הגשת משקאות משכרים לצריכה במקום. 
,","(32.089902, 34.780465)"
7884,מניירות,"נייר, קרטון או מוצריהם - מקום להחסנתם או למכירתם.",מסחר ושונות,שיינקין 34 ,"נייר, קרטון או מוצריהם - מקום להחסנתם או למכירתם.,","(32.0747248, 34.8128312)"
7885,נגרית כהן אברהם.,נגריה,"תעשיה, כימיה, מחצב",המשור 10 ,"נגריה,","(32.056797, 34.766479)"
7889,שלומי,מספרה לגברים וגברות,"בריאות, רוקחות, קוסמטיקה",אבן גבירול 61 ,"מספרה לגברים וגברות,פדיקור ומניקור.,","(32.0786749, 34.7811358)"
7892,"בירקילה בע""מ","4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו לרבות משלוח מזון ולרבות הגשת משקאות משכרים לצריכה במקום.
ושאינו עסק שעיקר פעילותו הגשת משקאות משכרים לצורך צריכה במקום ההגשה כאמור בפריט",מזון,ויצמן 78 ,"בית קפה מסעדה-לרבות צריכת משקאות משכרים במקום,","(32.093988, 34.790703)"
7894,אחלה מקום,"מכירת גבינות, מוצרי חלב באריזות סגורות, ממתקים, גלידות, עוגות,    בוטנים וגרעינים, משקאות שלא לצריכה במקום, דברי מאפה באריזות       סגורות, משקאות קלים.",מזון,שדה יצחק 21 ,"מכירת גבינות, מוצרי חלב באריזות סגורות, ממתקים, גלידות, עוגות,    בוטנים וגרעינים, משקאות שלא לצריכה במקום, דברי מאפה באריזות       סגורות, משקאות קלים.,","(31.7359711, 34.7485029)"
7895,מכבסה אוטומטית,מכבסה בשירות עצמי,מסחר ושונות,אבן גבירול 158 ,"מכבסה בשירות עצמי,","(32.090203, 34.782921)"
7897,קומת קרקע,"מצרכי מזון (ארוזים),חלב עמיד,עוגות ושאר מיני מאפה (למעט לחם),מצרך משקה ומשקאות קלים, מכ' מוצרי חלב.",מזון,תושיה 12א,"מצרכי מזון (ארוזים),חלב עמיד,עוגות ושאר מיני מאפה (למעט לחם),מצרך משקה ומשקאות קלים, מכ' מוצרי חלב.,הכנה ומכירת כריכים.,","(32.066527, 34.788995)"
7898,י.לוי,עבוד מתכת,"תעשיה, כימיה, מחצב",קבוץ גלויות 8 ,"עבוד מתכת,","(32.8124133, 35.0037193)"
7900,דיקלה לייכטר סטודיו לקוסמ,"1.4א - טיפול יופי וקוסמטיקה, פדיקור מניקור, מכון שיזוף
","בריאות, רוקחות, קוסמטיקה",אבן גבירול 181 ,"1.4א - טיפול יופי וקוסמטיקה, פדיקור מניקור, מכון שיזוף
,","(32.093496, 34.783134)"
7902,אספרסו בר,"בית קפה +חזה עוף מוכן לאכילה ממקור מאושר, לרבות הגשת משקאות משכרים לצריכה במקום. 
",מזון,יהודה המכבי 59 ,"בית קפה +חזה עוף מוכן לאכילה ממקור מאושר, לרבות הגשת משקאות משכרים לצריכה במקום. 
,אפיית מיני מאפה מבצק מוכן ומוקפא לצרכי מכירה במקום.,","(32.09396, 34.790999)"
7903,הכנה ומכירת מיצים טבעיים,הכנת ומכירת מיצים טבעיים.,מזון,דיזנגוף 169 ,"הכנת ומכירת מיצים טבעיים.,מכירת משקאות שלא לצריכה במקום, ממתקים, שלגונים, פירות יבשים - ללא ישיבה במקום.,","(32.084184, 34.774087)"
7904,מפגש הברכה,"4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו ללא הגשת משקאות משכרים לצריכה במקום.
",מזון,הרצל 98 ,"4.2א - מסעדה - מקום הכנה או הגשת מזון לצריכה במקום או מחוצה לו ללא הגשת משקאות משכרים לצריכה במקום.
,","(32.056171, 34.770702)"
7906,אולם - סוזן דלל,אולם למופעי תיאטרון ובידור (אולם סוזן דלל).,עינוג ציבורי כללי,יחיאלי 5 ,"אולם למופעי תיאטרון ובידור (אולם סוזן דלל).,","(32.0607621, 34.76425215570082)"
7909,סלון אליזבת,מכון יופי,"בריאות, רוקחות, קוסמטיקה",אשתורי הפרחי 18 ,"מכון יופי,","(32.090301, 34.780368)"
7910,"רים שיווק ותקשורת בע""מ",אחסנת ומכירת רהיטים,"תעשיה, כימיה, מחצב",הרצל 102 ,"אחסנת ומכירת רהיטים,","(32.055841, 34.7707)"
7912,אביב אבינועם,מספרה לגברות וגברים,"בריאות, רוקחות, קוסמטיקה",שבזי 43 ,"מספרה לגברות וגברים,","(32.062858, 34.766592)"
7915,מוסך מוטו מן,מוסך לתיקון אופנועים.,רכב ותחבורה,אלון יגאל 134 ,"מוסך לתיקון אופנועים.,","(31.737317, 34.7493121)"
7917,ויקינג,מסעדה (ללא הכנת דגים וללא אפיה במקום)- לרבות צריכת משקאות משכרים במקום,מזון,בן יהודה 6 ,"מסעדה (ללא הכנת דגים וללא אפיה במקום)- לרבות צריכת משקאות משכרים במקום,","(31.7816566, 35.2182512)"
7918,צינור מתכת,עבוד מתכת,"תעשיה, כימיה, מחצב",חצרים 17 ,"עבוד מתכת,","(32.056336, 34.76684)"
7921,איטליז נבון,מכירת בשר בקר ועוף שאינו קפוא.,מזון,מבשר 17 ,"מכירת בשר בקר ועוף שאינו קפוא.,","(32.05267, 34.790874)"
7922,Tal amos baber shop,1.4ב - מספרה.,"בריאות, רוקחות, קוסמטיקה",בן יהודה 213 ,"1.4ב - מספרה.,","(32.093933, 34.775012)"
7925,איטליז שאול,מכירת בשר בקר ועוף שאינו קפוא.,מזון,מבשר 14 ,"מכירת בשר בקר ועוף שאינו קפוא.,מכירת בשר קפוא,","(32.052719, 34.790771)"
7926,אטליז -שרון,אטליז - מכירת בשר טרי ועופות טריים.,מזון,נוריאל 5 ,"אטליז - מכירת בשר טרי ועופות טריים.,מכירת בשר קפוא, עוף קפוא .,","(32.052666, 34.790736)"
7927,שרוליק שיער,מספרה,"בריאות, רוקחות, קוסמטיקה",בן יהודה 37 ,"מספרה,","(32.077343, 34.768136)"
7928,AMPM,"4.6 ג - מזון ומרכיביו לרבות משקאות וחומרי גלם - איחסונו
",מזון,אבן גבירול 140 ,"4.6 ג - מזון ומרכיביו לרבות משקאות וחומרי גלם - איחסונו
,","(32.088648, 34.782624)"
7929,מטבחי שני,ייצור רהיטים- נגרייה,"תעשיה, כימיה, מחצב",המפעל 1 ,"ייצור רהיטים- נגרייה,","(32.9234246, 35.0793225)"
7930,מואיש חן,מספרה,"בריאות, רוקחות, קוסמטיקה",בוגרשוב 20 ,"מספרה,","(32.077031, 34.769242)"
7931,בהדונס,בית אוכל להכנה והגשת חומוס + סלטים טריים במקום.,מזון,דיזנגוף 175 ,"בית אוכל להכנה והגשת חומוס + סלטים טריים במקום.,","(32.085076, 34.774289)"
7932,לחם תושייה,מכירת לחם ממקור מאושר כחוק.,מזון,אבן גבירול 94 ,"מכירת לחם ממקור מאושר כחוק.,מכירת עוגות ממקור מאושר כחוק.,","(32.083045, 34.781521)"
7933,קאנטרי ל,"7.4 א - בריכת שחיה.לרבות מאגר מים אחר המשמש לשחייה ולנופש מים , לרבות בריכה המצוייה בפארק מים ולמעט בריכה המשמשת עד ארבע יחדות אירוח למטרות נופש.",עינוג ציבורי כללי,בורלא יהודה 31 ,"בריכות שחיה ( 3 )בריכה מקורה - (240 איש)
בריכה פתוחה (560 איש),סאונה  ( 2 ),מתקני שעשועים - מתנפחים.,קייטנות,ג'אקוזי.,","(32.1091337, 34.7905106)"
7937,צ'יק צ'ק צ'יקן,מסעדה - לרבות צריכת משקאות משכרים במקום,מזון,אבן גבירול 30 ,"מסעדה - לרבות צריכת משקאות משכרים במקום,","(32.075175, 34.78205)"
7938,צוותא 2,אולם תיאטרון.,עינוג ציבורי כללי,אבן גבירול 30 ,"אולם תיאטרון.,","(32.075175, 34.78205)"
7939,פירות וירקות מלכיאל,מכירת פירות וירקות.,מזון,בן יהודה 172 ,"מכירת פירות וירקות.,מכירת שימורים ופירות יבשים,","(32.087137, 34.773291)"
7940,השובך,מסעדה-לרבות צריכת משקאות משכרים.,מזון,דם המכבים 26 ,"מסעדה-לרבות צריכת משקאות משכרים.,","(32.06935, 34.800324)"
7942,מוסך מגן,מוסך לתיקון כלי רכב,רכב ותחבורה,תושיה 20 ,"מוסך לתיקון כלי רכב,","(32.066389, 34.790002)"
7943,  מספרת דניאל,מספרה.,"בריאות, רוקחות, קוסמטיקה",סנהדרין 9 ,"מספרה.,","(32.096451, 34.797169)"
7944,"כל בו נווה אביבים בע""מ",סופרמרקט (מכלת + מכירת מצרכי מזון קפואים).,מזון,לויטן יצחק 1 ,"סופרמרקט (מכלת + מכירת מצרכי מזון קפואים).,אטליז - מכירת בשר בקר ועוף קפוא ושאינו קפוא, מכירת דגים קפואים.,מעדניה - מכירת מזון מבושל לפי משקל.,מכירת פירות וירקות,אפיית מיני מאפה מבצק מוכן ומוקפא.,","(32.0017036, 34.7661326)"
7947,גלידות פלדמן,"קיוסק-מכירת ממתקים,  שלגונים באריזות סגורות ושתייה קלה 
",מזון,בית אל 12 ,"קיוסק-מכירת ממתקים,  שלגונים באריזות סגורות ושתייה קלה 
,","(32.118275, 34.839634)"
7950,קוקיס,מכירת חומרי בנין    וצבעים,"תעשיה, כימיה, מחצב",הרצוג 24 ,"מכירת חומרי בנין    וצבעים,","(32.08791885, 34.82536725)"
